"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
"4"	"616"	"249"	"57"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 457, 1127"	"0"	"PIK3CA -> APC -> PIK3CA -> APC -> APC"
"3"	"624"	"324"	"57"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 591, 1139"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"4"	"694"	"246"	"58"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 455, 1263"	"0"	"PIK3CA -> APC -> APC -> APC"
"1"	"719"	"127"	"59"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239"	"79"	"PIK3CA -> APC -> PIK3CA"
"4"	"744"	"127"	"59"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1353"	"0"	"PIK3CA -> APC -> PIK3CA"
"2"	"751"	"127"	"59"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 1367"	"0"	"PIK3CA -> APC"
"1"	"771"	"208"	"59"	0	0.5	"1 0 0 1"	"0 0 0 1"	"213, 239, 385, 1405"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"776"	"281"	"59"	0	0.5	"1 0 0 1"	"0 1 0 0"	"213, 239, 511, 1415"	"0"	"PIK3CA -> APC -> APC"
"1"	"782"	"333"	"59"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 1427"	"31"	"PIK3CA -> APC -> PIK3CA"
"1"	"805"	"127"	"60"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1469"	"0"	"PIK3CA -> APC -> APC"
"4"	"813"	"127"	"60"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1483"	"0"	"PIK3CA -> APC -> APC"
"2"	"821"	"127"	"60"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1499"	"0"	"PIK3CA -> APC -> APC"
"1"	"837"	"127"	"60"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1527"	"0"	"PIK3CA -> APC -> APC"
"1"	"847"	"171"	"60"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315, 1549"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"1"	"868"	"311"	"60"	0	0.5	"1 0 0 1"	"0 0 0 1"	"213, 239, 565, 1589"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"871"	"332"	"60"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 607, 1595"	"0"	"PIK3CA -> APC -> TP53 -> APC"
"27"	"875"	"496"	"60"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 293, 893, 1603"	"0"	"PIK3CA -> APC -> PIK3CA -> APC -> TP53"
"4"	"901"	"127"	"61"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 1653"	"0"	"PIK3CA -> APC -> TP53"
"1"	"912"	"127"	"61"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 1673"	"0"	"PIK3CA -> APC"
"3"	"915"	"127"	"61"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1679"	"0"	"PIK3CA -> APC -> PIK3CA"
"3"	"928"	"171"	"61"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315, 1699"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"3"	"940"	"199"	"61"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 353, 367, 1723"	"0"	"PIK3CA -> APC -> APC -> APC -> PIK3CA"
"14"	"952"	"246"	"61"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 455, 1747"	"0"	"PIK3CA -> APC -> APC -> TP53"
"13"	"973"	"428"	"61"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 293, 777, 1781"	"0"	"PIK3CA -> APC -> PIK3CA -> APC -> TP53"
"1"	"974"	"430"	"61"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 383, 781, 1783"	"0"	"PIK3CA -> APC -> PIK3CA -> TP53 -> PIK3CA"
"2"	"979"	"601"	"61"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315, 1099, 1791"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC -> APC"
"2"	"1013"	"127"	"62"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1857"	"0"	"PIK3CA -> APC -> APC"
"2"	"1040"	"158"	"62"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 1907"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"1"	"1060"	"208"	"62"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 385, 1943"	"0"	"PIK3CA -> APC -> PIK3CA"
"4"	"1103"	"127"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2023"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"1106"	"127"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2029"	"0"	"PIK3CA -> APC -> PIK3CA"
"2"	"1112"	"127"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2041"	"0"	"PIK3CA -> APC -> APC"
"2"	"1123"	"127"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239"	"118"	"PIK3CA -> APC -> APC"
"1"	"1152"	"171"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 315, 2105"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC"
"1"	"1162"	"208"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 2125"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"5"	"1176"	"249"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 457, 2149"	"0"	"PIK3CA -> APC -> PIK3CA -> APC -> APC"
"1"	"1177"	"249"	"63"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 385, 457, 2151"	"0"	"PIK3CA -> APC -> PIK3CA -> APC -> APC"
"5"	"1192"	"500"	"63"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 293, 315, 901, 2179"	"0"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> APC -> TP53"
"82429"	"1197"	"952"	"63"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"2"	"1214"	"127"	"64"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2219"	"0"	"PIK3CA -> APC -> APC"
"1"	"1221"	"127"	"64"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2231"	"0"	"PIK3CA -> APC -> APC"
"16"	"1238"	"127"	"64"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 2259"	"0"	"PIK3CA -> APC -> TP53"
"1"	"1255"	"127"	"64"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2289"	"0"	"PIK3CA -> APC -> APC"
